"","Row.names","log2FoldChange","padj","Factor","trans"
"1","ko:K00024",-0.891160989469552,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9267_c0_g1_i2"
"2","ko:K00024",-0.891160989469552,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9446_c0_g1_i1"
"3","ko:K00031",-0.669814134688932,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9440_c0_g1_i1"
"4","ko:K00128",-0.229967825098831,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9333_c0_g1_i1"
"5","ko:K00134",1.51887270619936,0.70367973349119,"Menthol_Menthol_vs_Control","TRINITY_DN9495_c0_g1_i2"
"6","ko:K00134",1.51887270619936,0.70367973349119,"Menthol_Menthol_vs_Control","TRINITY_DN9495_c0_g1_i1"
"7","ko:K00140",0.14964832579509,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8733_c0_g1_i1"
"8","ko:K00207",0.342275737539483,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9160_c0_g1_i1"
"9","ko:K00235",-0.147132096985754,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9363_c0_g1_i1"
"10","ko:K00249",0.25236667309358,0.950793158257641,"Menthol_Menthol_vs_Control","TRINITY_DN9283_c0_g1_i1"
"11","ko:K00262",0.0499079692129643,0.976892934800774,"Menthol_Menthol_vs_Control","TRINITY_DN9017_c0_g1_i2"
"12","ko:K00262",0.0499079692129643,0.976892934800774,"Menthol_Menthol_vs_Control","TRINITY_DN9017_c0_g1_i1"
"13","ko:K00331",0.730539012107675,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7353_c0_g1_i1"
"14","ko:K00333",-0.908263115991203,0.48439170483148,"Menthol_Menthol_vs_Control","TRINITY_DN6874_c0_g1_i1"
"15","ko:K00338",0.450201359472492,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6548_c0_g1_i1"
"16","ko:K00357",0.502845999894339,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN3286_c0_g1_i1"
"17","ko:K00411",0.102099680061108,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9439_c0_g1_i1"
"18","ko:K00413",0.579250461729177,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6884_c0_g1_i1"
"19","ko:K00456",-0.581027176421811,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8927_c0_g1_i1"
"20","ko:K00456",-0.581027176421811,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8927_c0_g1_i2"
"21","ko:K00469",0.158366522723479,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8473_c0_g1_i1"
"22","ko:K00500",0.185856083933298,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7120_c0_g1_i1"
"23","ko:K00522",-0.737153159333454,0.351703638546777,"Menthol_Menthol_vs_Control","TRINITY_DN9408_c0_g1_i1"
"24","ko:K00522",-0.737153159333454,0.351703638546777,"Menthol_Menthol_vs_Control","TRINITY_DN8161_c0_g1_i1"
"25","ko:K00544",-0.840583108687327,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9537_c1_g1_i1"
"26","ko:K00616",-1.58800814138258,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN5681_c0_g1_i1"
"27","ko:K00643",0.288767434387168,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9578_c0_g1_i1"
"28","ko:K00799",-0.73024553093044,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8862_c0_g1_i1"
"29","ko:K00814",-0.3574460053555,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8382_c0_g1_i1"
"30","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i2"
"31","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i1"
"32","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i5"
"33","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i7"
"34","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i8"
"35","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i9"
"36","ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control","TRINITY_DN9656_c1_g1_i4"
"37","ko:K00856",-0.142650178611912,0.945434144679215,"Menthol_Menthol_vs_Control","TRINITY_DN7955_c0_g1_i1"
"38","ko:K00933",-0.10450080463438,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN15607_c0_g1_i1"
"39","ko:K00933",-0.10450080463438,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9644_c0_g1_i2"
"40","ko:K00939",-0.229745525643214,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9241_c0_g1_i1"
"41","ko:K00940",0.114242841783465,0.948656212646734,"Menthol_Menthol_vs_Control","TRINITY_DN561_c0_g1_i1"
"42","ko:K00940",0.114242841783465,0.948656212646734,"Menthol_Menthol_vs_Control","TRINITY_DN8388_c0_g1_i1"
"43","ko:K00967",0.349128580260984,0.48439170483148,"Menthol_Menthol_vs_Control","TRINITY_DN9400_c0_g1_i1"
"44","ko:K01070",-1.36124655588579,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN546_c0_g1_i1"
"45","ko:K01206",0.00635143496253235,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN8938_c0_g1_i1"
"46","ko:K01206",0.00635143496253235,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN9427_c0_g1_i1"
"47","ko:K01251",1.2977041996211,0.147212412629038,"Menthol_Menthol_vs_Control","TRINITY_DN9231_c0_g1_i1"
"48","ko:K01363",0.268701686613638,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8750_c0_g1_i1"
"49","ko:K01365",-0.0451614246315289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9355_c0_g1_i5"
"50","ko:K01365",-0.0451614246315289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9653_c1_g1_i1"
"51","ko:K01365",-0.0451614246315289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9355_c0_g1_i4"
"52","ko:K01365",-0.0451614246315289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9355_c0_g1_i1"
"53","ko:K01365",-0.0451614246315289,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9355_c0_g1_i2"
"54","ko:K01379",0.265723291744788,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9627_c0_g1_i1"
"55","ko:K01379",0.265723291744788,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9627_c0_g1_i2"
"56","ko:K01551",-0.0229591936446759,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN14997_c0_g1_i1"
"57","ko:K01596",0.760618607759773,0.0956521657639238,"Menthol_Menthol_vs_Control","TRINITY_DN9611_c0_g2_i1"
"58","ko:K01596",0.760618607759773,0.0956521657639238,"Menthol_Menthol_vs_Control","TRINITY_DN9611_c0_g2_i2"
"59","ko:K01623",-1.03630635869335,0.187078845627284,"Menthol_Menthol_vs_Control","TRINITY_DN9132_c0_g1_i1"
"60","ko:K01681",-0.211986599637722,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9214_c0_g1_i1"
"61","ko:K01689",0.845822538487178,0.331530974419029,"Menthol_Menthol_vs_Control","TRINITY_DN9573_c0_g1_i1"
"62","ko:K01697",0.191670164700273,0.948656212646734,"Menthol_Menthol_vs_Control","TRINITY_DN9402_c0_g1_i2"
"63","ko:K01697",0.191670164700273,0.948656212646734,"Menthol_Menthol_vs_Control","TRINITY_DN9402_c0_g1_i1"
"64","ko:K01758",0.0866517305166401,0.968235107160252,"Menthol_Menthol_vs_Control","TRINITY_DN9608_c0_g1_i1"
"65","ko:K01758",0.0866517305166401,0.968235107160252,"Menthol_Menthol_vs_Control","TRINITY_DN9608_c0_g1_i2"
"66","ko:K01875",0.378809724005753,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8298_c0_g1_i1"
"67","ko:K01881",1.06297458578717,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9340_c0_g1_i1"
"68","ko:K01889",-0.231084790813311,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8969_c0_g1_i1"
"69","ko:K01890",-0.349642427760022,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9391_c0_g1_i1"
"70","ko:K01892",-0.817851804203514,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7780_c0_g1_i1"
"71","ko:K01893",-0.5168140334532,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9570_c0_g1_i1"
"72","ko:K01953",-0.570123745697968,0.719427456110029,"Menthol_Menthol_vs_Control","TRINITY_DN9223_c0_g1_i1"
"73","ko:K02105",-0.179779305744412,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9525_c0_g1_i1"
"74","ko:K02111",-2.17362140983613,0.631321302156163,"Menthol_Menthol_vs_Control","TRINITY_DN9485_c0_g1_i1"
"75","ko:K02112",-0.112871248406224,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN2467_c0_g1_i1"
"76","ko:K02112",-0.112871248406224,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN2467_c0_g2_i1"
"77","ko:K02112",-0.112871248406224,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9596_c0_g1_i1"
"78","ko:K02146",-0.658474764473266,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8095_c0_g1_i1"
"79","ko:K02149",-0.207653321528025,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN5998_c0_g1_i1"
"80","ko:K02152",0.00258777083321567,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN3619_c0_g1_i1"
"81","ko:K02155",-0.323118277427804,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8737_c0_g1_i1"
"82","ko:K02183",0.400505430076246,0.425895623326305,"Menthol_Menthol_vs_Control","TRINITY_DN9151_c0_g1_i1"
"83","ko:K02183",0.400505430076246,0.425895623326305,"Menthol_Menthol_vs_Control","TRINITY_DN9426_c0_g1_i1"
"84","ko:K02183",0.400505430076246,0.425895623326305,"Menthol_Menthol_vs_Control","TRINITY_DN7877_c0_g1_i1"
"85","ko:K02219",0.384997602755335,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN762_c0_g1_i1"
"86","ko:K02267",-0.933215375607772,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN2939_c0_g1_i1"
"87","ko:K02437",0.130383549906384,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8080_c0_g1_i1"
"88","ko:K02503",-1.16057406080466,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6041_c0_g1_i1"
