"","log2FoldChange","padj","Factor"
"ko:K00024",-0.891160989469552,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.669814134688932,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.229967825098831,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00134",1.51887270619936,0.70367973349119,"Menthol_Menthol_vs_Control"
"ko:K00140",0.14964832579509,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00207",0.342275737539483,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.147132096985754,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00249",0.25236667309358,0.950793158257641,"Menthol_Menthol_vs_Control"
"ko:K00262",0.0499079692129643,0.976892934800774,"Menthol_Menthol_vs_Control"
"ko:K00331",0.730539012107675,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.908263115991203,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K00338",0.450201359472492,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00357",0.502845999894339,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00411",0.102099680061108,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00413",0.579250461729177,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.581027176421811,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00469",0.158366522723479,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00500",0.185856083933298,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.737153159333454,0.351703638546777,"Menthol_Menthol_vs_Control"
"ko:K00544",-0.840583108687327,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.58800814138258,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00643",0.288767434387168,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.73024553093044,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.3574460053555,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K00819",0.714345059862993,0.25310067469396,"Menthol_Menthol_vs_Control"
"ko:K00856",-0.142650178611912,0.945434144679215,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.10450080463438,0.945222884667638,"Menthol_Menthol_vs_Control"
